Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
Mediterranean diet improves dyslipidemia and biomarkers in chronic renal failure patients,,10.1039/c0fo00032a,True,,2010,,Food &amp; Function,False,,"Mekki, Khedidja and Bouzidi-bekada, Nassima and Kaddous, Abbou and Bouchenak, Malika"
Improving Albumin Levels Among Hemodialysis Patients: A Community-Based Randomized Controlled Trial,,10.1053/j.ajkd.2006.03.046,True,,2006,,American Journal of Kidney Diseases,False,,"Leon, Janeen B. and Albert, Jeffrey M. and Gilchrist, Gina and Kushner, Irving and Lerner, Edith and Mach, Suzanne and Majerle, Angela and Porter, David and Ricanati, Edmond and Sperry, Laurine and Sullivan, Catherine and Zimmerer, Jennifer and Sehgal, Ashwini R."
Treatment of metabolic acidosis in patients with stage 3 chronic kidney disease with fruits and vegetables or oral bicarbonate reduces urine angiotensinogen and preserves glomerular filtration rate,,10.1038/ki.2014.83,True,,2014,,Kidney International,False,,"Goraya, Nimrit and Simoni, Jan and Jo, Chan-Hee and Wesson, Donald E."
A Comparison of Treating Metabolic Acidosis in CKD Stage 4 Hypertensive Kidney Disease with Fruits and Vegetables or Sodium Bicarbonate,,10.2215/CJN.02430312,True,,2013,,Clinical Journal of the American Society of Nephrology,False,,"Goraya, Nimrit and Simoni, Jan and Jo, Chan-Hee and Wesson, Donald E."
"Self-Management and Biomedical Outcomes of a Cooking, and Exercise Program for Patients with Chronic Kidney Disease",,10.1053/j.jrn.2010.03.009,True,,2011,,Journal of Renal Nutrition,False,,"Flesher, Mary and Woo, Paula and Chiu, Anthony and Charlebois, Ashley and Warburton, Darren E.R. and Leslie, Barbara"
"A Low-Iron-Available, Polyphenol-Enriched, Carbohydrate-Restricted Diet to Slow Progression of Diabetic Nephropathy",,10.2337/diabetes.52.5.1204,True,,2003,,Diabetes,False,,"Facchini, Francesco S. and Saylor, Kami L."
Renal Function Following Three Distinct Weight Loss Dietary Strategies During 2 Years of a Randomized Controlled Trial,,10.2337/dc12-1846,True,,2013,,Diabetes Care,False,,"Tirosh, Amir and Golan, Rachel and Harman-Boehm, Ilana and Henkin, Yaakov and Schwarzfuchs, Dan and Rudich, Assaf and Kovsan, Julia and Fiedler, Georg M. and Blüher, Matthias and Stumvoll, Michael and Thiery, Joachim and Stampfer, Meir J. and Shai, Iris"
Review Sessions,,10.1159/000171026,True,,2012,,Obesity Facts,False,,
The impact of nutrition intervention on quality of life in pre-dialysis chronic kidney disease patients,,10.1016/j.clnu.2008.05.002,True,,2008,,Clinical Nutrition,False,,"Campbell, Katrina Louise and Ash, Susan and Bauer, Judith Dorothea"
Randomized Controlled Trial of Nutritional Counseling on Body Composition and Dietary Intake in Severe CKD,,10.1053/j.ajkd.2007.12.015,True,,2008,,American Journal of Kidney Diseases,False,,"Campbell, Katrina L. and Ash, Susan and Davies, Peter S.W. and Bauer, Judith D."
